Date,Rate,"ISO Code From","ISO Code To"
"7/12/2021 Monday","14,491.59294",USD,IDR
"7/13/2021 Tuesday","14,476.52203",USD,IDR
"7/14/2021 Wednesday","14,404.17703",USD,IDR
"7/15/2021 Thursday","14,469.95831",USD,IDR
"7/16/2021 Friday","14,495.41215",USD,IDR
"7/19/2021 Monday","14,490.12260",USD,IDR
"7/20/2021 Tuesday","14,514.10964",USD,IDR
"7/21/2021 Wednesday","14,495.34596",USD,IDR
"7/22/2021 Thursday","14,508.09177",USD,IDR
"7/23/2021 Friday","14,492.63051",USD,IDR
"7/26/2021 Monday","14,487.54718",USD,IDR
"7/27/2021 Tuesday","14,468.66842",USD,IDR
"7/28/2021 Wednesday","14,414.21667",USD,IDR
"7/29/2021 Thursday","14,467.14994",USD,IDR
"7/30/2021 Friday","14,501.55250",USD,IDR
"8/2/2021 Monday","14,445.82502",USD,IDR
"8/3/2021 Tuesday","14,391.49693",USD,IDR
"8/4/2021 Wednesday","14,313.11092",USD,IDR
"8/5/2021 Thursday","14,315.95314",USD,IDR
"8/6/2021 Friday","14,403.07373",USD,IDR
"8/9/2021 Monday","14,363.60538",USD,IDR
"8/10/2021 Tuesday","14,379.25224",USD,IDR
"8/11/2021 Wednesday","14,385.48676",USD,IDR
"8/12/2021 Thursday","14,387.28127",USD,IDR
"8/13/2021 Friday","14,327.19776",USD,IDR
"8/16/2021 Monday","14,376.39296",USD,IDR
"8/17/2021 Tuesday","14,439.92418",USD,IDR
"8/18/2021 Wednesday","14,372.20861",USD,IDR
"8/19/2021 Thursday","14,411.77604",USD,IDR
"8/20/2021 Friday","14,460.04574",USD,IDR
"8/23/2021 Monday","14,400.21794",USD,IDR
"8/24/2021 Tuesday","14,379.34070",USD,IDR
"8/25/2021 Wednesday","14,386.20000",USD,IDR
"8/26/2021 Thursday","14,415.01986",USD,IDR
"8/27/2021 Friday","14,368.74436",USD,IDR
"8/30/2021 Monday","14,367.01609",USD,IDR
"8/31/2021 Tuesday","14,296.13264",USD,IDR
"9/1/2021 Wednesday","14,257.71231",USD,IDR
"9/2/2021 Thursday","14,248.52165",USD,IDR
"9/3/2021 Friday","14,251.87392",USD,IDR
"9/6/2021 Monday","14,214.47321",USD,IDR
"9/7/2021 Tuesday","14,249.33912",USD,IDR
"9/8/2021 Wednesday","14,251.89711",USD,IDR
"9/9/2021 Thursday","14,260.57530",USD,IDR
"9/10/2021 Friday","14,226.67070",USD,IDR
"9/13/2021 Monday","14,298.65671",USD,IDR
"9/14/2021 Tuesday","14,244.84504",USD,IDR
"9/15/2021 Wednesday","14,235.96566",USD,IDR
"9/16/2021 Thursday","14,250.19893",USD,IDR
"9/17/2021 Friday","14,293.12609",USD,IDR
"9/20/2021 Monday","14,235.10302",USD,IDR
"9/21/2021 Tuesday","14,238.62381",USD,IDR
"9/22/2021 Wednesday","14,299.15334",USD,IDR
"9/23/2021 Thursday","14,242.87856",USD,IDR
"9/24/2021 Friday","14,272.18430",USD,IDR
"9/27/2021 Monday","14,264.68406",USD,IDR
"9/28/2021 Tuesday","14,271.16497",USD,IDR
"9/29/2021 Wednesday","14,367.73186",USD,IDR
"9/30/2021 Thursday","14,298.48079",USD,IDR
"10/1/2021 Friday","14,293.86378",USD,IDR
"10/4/2021 Monday","14,262.54265",USD,IDR
"10/5/2021 Tuesday","14,260.00000",USD,IDR
"10/6/2021 Wednesday","14,245.00000",USD,IDR
"10/7/2021 Thursday","14,248.99612",USD,IDR
"10/8/2021 Friday","14,217.98083",USD,IDR
"10/11/2021 Monday","14,220.90165",USD,IDR
"10/12/2021 Tuesday","14,214.84450",USD,IDR
"10/13/2021 Wednesday","14,204.85164",USD,IDR
"10/14/2021 Thursday","14,105.27223",USD,IDR
"10/15/2021 Friday","14,070.19147",USD,IDR
"10/18/2021 Monday","14,056.43762",USD,IDR
"10/19/2021 Tuesday","14,075.46229",USD,IDR
"10/20/2021 Wednesday","14,079.51380",USD,IDR
"10/21/2021 Thursday","14,121.60389",USD,IDR
"10/22/2021 Friday","14,110.21079",USD,IDR
"10/25/2021 Monday","14,152.60477",USD,IDR
"10/26/2021 Tuesday","14,166.19588",USD,IDR
"10/27/2021 Wednesday","14,141.55342",USD,IDR
"10/28/2021 Thursday","14,175.29082",USD,IDR
"10/29/2021 Friday","14,288.95452",USD,IDR
"11/1/2021 Monday","14,233.76847",USD,IDR
"11/2/2021 Tuesday","14,256.29202",USD,IDR
"11/3/2021 Wednesday","14,256.74541",USD,IDR
"11/4/2021 Thursday","14,334.06331",USD,IDR
"11/5/2021 Friday","14,338.39761",USD,IDR
"11/8/2021 Monday","14,257.97264",USD,IDR
"11/9/2021 Tuesday","14,243.01887",USD,IDR
"11/10/2021 Wednesday","14,271.96265",USD,IDR
"11/11/2021 Thursday","14,288.84762",USD,IDR
"11/12/2021 Friday","14,233.63534",USD,IDR
"11/15/2021 Monday","14,235.75523",USD,IDR
"11/16/2021 Tuesday","14,222.37140",USD,IDR
"11/17/2021 Wednesday","14,246.59228",USD,IDR
"11/18/2021 Thursday","14,225.41528",USD,IDR
"11/19/2021 Friday","14,243.55587",USD,IDR
"11/22/2021 Monday","14,243.50566",USD,IDR
"11/23/2021 Tuesday","14,259.04525",USD,IDR
"11/24/2021 Wednesday","14,320.08606",USD,IDR
"11/25/2021 Thursday","14,283.22294",USD,IDR
"11/26/2021 Friday","14,300.35336",USD,IDR
"11/29/2021 Monday","14,295.39385",USD,IDR
"11/30/2021 Tuesday","14,353.30743",USD,IDR
"12/1/2021 Wednesday","14,347.93748",USD,IDR
"12/2/2021 Thursday","14,392.39767",USD,IDR
"12/3/2021 Friday","14,389.50020",USD,IDR
"12/6/2021 Monday","14,432.56943",USD,IDR
"12/7/2021 Tuesday","14,347.32452",USD,IDR
"12/8/2021 Wednesday","14,370.91961",USD,IDR
"12/9/2021 Thursday","14,344.97904",USD,IDR
"12/10/2021 Friday","14,370.27875",USD,IDR
"12/13/2021 Monday","14,357.75629",USD,IDR
"12/14/2021 Tuesday","14,341.93227",USD,IDR
"12/15/2021 Wednesday","14,251.62584",USD,IDR
"12/16/2021 Thursday","14,330.91366",USD,IDR
"12/17/2021 Friday","14,389.66562",USD,IDR
"12/20/2021 Monday","14,382.49273",USD,IDR
"12/21/2021 Tuesday","14,304.01234",USD,IDR
"12/22/2021 Wednesday","14,298.20378",USD,IDR
"12/23/2021 Thursday","14,256.89960",USD,IDR
"12/24/2021 Friday","14,264.51755",USD,IDR
"12/27/2021 Monday","14,227.31928",USD,IDR
"12/28/2021 Tuesday","14,221.34174",USD,IDR
"12/29/2021 Wednesday","14,198.28676",USD,IDR
"12/30/2021 Thursday","14,249.76380",USD,IDR
"12/31/2021 Friday","14,184.77099",USD,IDR
"1/3/2022 Monday","14,271.10676",USD,IDR
"1/4/2022 Tuesday","14,306.22137",USD,IDR
"1/5/2022 Wednesday","14,376.59427",USD,IDR
"1/6/2022 Thursday","14,387.13904",USD,IDR
"1/7/2022 Friday","14,303.69386",USD,IDR
